,GDP,CPI,CPIXFE,S,RS,GDP_RW,CPI_RW,RS_RW,REM_GDP,MB
2001Q1,67711.37714,53.3908883,103.29289,7.746666667,5.4,14183.1,99.93666097,5.29,1.332854624,11786.3
2001Q2,67897.40134,54.1762014,105.05825,7.773333333,4.98,14271.7,98.22866505,3.95,0.902053021,11885.4333
2001Q3,68049.13219,55.5075931,107.973755,7.866666667,4.63,14214.5,97.05574185,2.75,0.768020757,12118.8667
2001Q4,70327.07533,56.6413564,110.49046,8.05,4.52,14253.6,95.23533886,1.52,0.985501958,12996.61
2002Q1,69828.4238,58.26399,114.70657,7.956666667,5.25,14372.8,94.47360889,1.74,1.923861322,13657.6467
2002Q2,71242.83103,59.1273143,116.391975,7.863333333,4.39,14460.8,95.52997685,1.73,2.133555784,13553.0567
2002Q3,72069.85239,59.4497608,117.838646,7.803333333,4.45,14519.6,96.25624679,1.85,2.654719634,13403.4667
2002Q4,72488.1044,60.2246723,119.3521,7.663333333,2.22,14537.6,97.03456237,1.16,2.843255135,14972.4
2003Q1,73123.57524,61.6288746,122.32575,7.846666667,1.41,14614.1,98.86726596,1.38,2.794960318,14874.4667
2003Q2,72849.04382,62.2269607,124.06946,7.91,1.1,14743.6,97.09632611,1.45,3.005867017,15291.0667
2003Q3,73664.2214,62.8250468,125.25152,7.94,1.45,14988.8,97.50182034,1.17,3.099849778,15138.4
2003Q4,73483.54814,63.7507801,126.43961,8.07,1.83,15162.8,98.75804265,0.94,3.268252497,16270.8333
2004Q1,74353.94532,65.6750572,129.65968,8.103333333,1.86,15248.7,100.9479804,1.05,3.533672262,16274.1333
2004Q2,74787.78886,66.8348242,131.65363,7.99,2.26,15366.9,101.9155024,1.38,3.307616696,16293.3333
2004Q3,75780.15574,67.8801747,133.54968,7.903333333,2.08,15512.6,103.0223341,1.94,3.321375364,16411.8
2004Q4,76882.89604,69.6328271,135.94865,7.793333333,2.68,15670.9,105.3612677,1.97,3.408992402,17571.7333
2005Q1,76953.66919,71.4322863,139.84258,7.7,2.75,15844.7,106.4969207,2.96,3.439127769,17880.5667
2005Q2,78368.75483,72.7168712,141.94,7.603333333,3,15922.8,107.3554841,3.35,3.522411655,18374.6667
2005Q3,77598.97065,74.2926982,143.704,7.6,3.61363636,16047.6,109.631711,3.93,3.424766623,18571.4333
2005Q4,78066.91777,75.5980861,146.43095,7.633333333,4.11363636,16136.7,111.5825865,4.09,3.745809516,19898.6667
2006Q1,80975.883,76.6330352,149.77,7.616666667,4.25,16353.8,112.3261206,5,3.768276672,21063.0333
2006Q2,80525.08196,78.2088621,151.56,7.593333333,4.57954545,16396.2,113.533415,5.05,3.945549297,21823.15
2006Q3,82683.54152,78.5261078,153.13,7.59,5,16420.7,114.8626361,5.34,3.859408541,22130.83
2006Q4,84084.68552,79.9771167,154.88,7.606666667,5,16561.9,113.9072707,5.17,3.815547249,24360.0667
2007Q1,86368.3439,82.0158103,158.59,7.69,5.02272727,16611.7,115.5370877,5.3,3.817914058,25310.1
2007Q2,86239.63217,82.3642605,160.66,7.66,5.5,16713.3,116.5776218,5.31,3.992787189,25454.8667
2007Q3,87489.4398,84.2833368,163.13,7.68,5.525,16809.6,118.849367,4.58,3.9949377,26350.2667
2007Q4,87996.77058,86.972124,166.32,7.663333333,6.28571429,16915.2,124.3036771,3.06,3.94123286,26964.6667
2008Q1,89189.12648,89.478885,171.65,7.686666667,6.53571429,16843,129.149554,2.51,3.761575677,27036.6333
2008Q2,91099.01326,93.5302684,176.09,7.486666667,6.75,16943.3,134.184639,2.47,3.608143541,26332.6333
2008Q3,90239.21056,95.028084,179.86,7.436666667,7.25,16854.3,136.0233071,2.03,3.53691412,26882.6
2008Q4,90335.79939,95.1477013,182.59,7.626666667,7.25,16485.4,121.243077,0.14,3.40170235,27615
2009Q1,89280.65001,93.951529,184.75,7.963333333,6.45454545,16298.3,115.3505013,0.16,3.531835763,27085.4667
2009Q2,90190.19469,94.1075515,186.02,8.106666667,5.54545455,16269.1,115.7958479,0.22,3.39294731,28420.9333
2009Q3,91531.30471,95.0592885,187.67,8.253333333,4.63636364,16326.3,119.1243234,0.07,3.447360289,28908.7333
2009Q4,92151.81195,94.8824631,188.95,8.326666667,4.5,16502.8,122.669039,0.05,3.401247738,30177.3333
2010Q1,92201.75506,97.64,191.76,8.18,4.5,16582.7,124.87505,0.09,3.299628833,30763.6
2010Q2,92948.57859,97.94,193.6,8.006666667,4.5,16743.2,123.8431637,0.09,3.315663752,30473.2333
2010Q3,93171.88131,98.63,195.26,8.036666667,4.5,16872.3,124.3831782,0.15,3.406223824,30983.7
2010Q4,95104.06942,100,197.16,8.013333333,4.5,16960.9,128.8276977,0.13,3.259958158,32459.6333
2011Q1,96000.78851,102.517162,200.57,7.83,4.5,16920.6,134.3815821,0.1,3.160128772,34074.9667
2011Q2,97059.87307,104.23,203.47,7.69,4.75,17035.1,138.4442958,0.07,3.127143552,34160.5667
2011Q3,98444.72208,105.78,206.17,7.813333333,5,17031.3,139.1466681,0.06,2.9780806,33679.8667
2011Q4,98577.02928,106.2,208.23,7.82,5.5,17222.6,138.9790343,0.04,3.05713418,35147.0667
2012Q1,99685.89391,107.18,210.87,7.773333333,5.5,17367,139.1395828,0.09,3.158058189,36029.7333
2012Q2,99678.75789,107.85,213.3,7.79,5.5,17444.5,137.668249,0.09,3.252139962,35517.8333
2012Q3,100836.5398,109.25,216.06,7.893333333,5,17469.7,137.0243521,0.09,3.198772767,35628.3333
2012Q4,102188.2826,109.86,218.42,7.88,5,17489.9,138.5562262,0.09,3.201183049,38710.6333
2013Q1,102597.8025,111.83,221.22,7.843333333,5,17662.4,138.3664821,0.09,3.176800583,39142.3
2013Q2,104070.0127,113.02,223.42,7.803333333,5.25,17709.7,136.6092956,0.07,3.147104236,39560.8
2013Q3,104587.3115,113.85,224.81,7.883333333,5.25,17860.5,136.7448452,0.06,3.248248966,39349
2013Q4,105137.3001,114.68,226.57,7.906666667,5,18016.1,136.4193586,0.07,3.291622861,41016.6
2014Q1,106897.0945,115.46,228.52,7.78,5,17954,137.3486682,0.06,3.214041134,39187.6667
2014Q2,108552.0118,116.56,230.18,7.76,4.75,18185.9,137.1572782,0.09,3.222594472,40730.2333
2014Q3,108984.5086,117.78,231.65,7.766666667,4.5,18406.9,136.1905171,0.07,3.22360275,41421.8667
2014Q4,110459.3588,118.06,233.03,7.63,4,18500,132.1661373,0.06,3.139319175,43136.0667
2015Q1,111936.3344,118.26,234.8,7.64,3.5,18666.6,125.8137037,0.06,3.263981776,44871.5
2015Q2,111925.6456,119.34,236.72,7.676666667,3.5,18782.2,125.5680017,0.08,3.208831041,46926.2
2015Q3,114269.8609,119.99,238.28,7.663402624,3.25,18857.4,123.1901398,0.07,3.412330533,47044.8
2015Q4,114546.4825,121.68,239.8,7.648319831,3,18892.2,121.0187966,0.2,3.588225028,49168
2016Q1,113786.063,123.3,241.43,7.675930334,3,19001.7,118.0009815,0.25,3.682181978,49246.5667
2016Q2,116138.4949,124.63,242.97,7.676320143,3,19062.7,119.5422801,0.3,3.627728224,51007.1
2016Q3,116606.7656,125.46,244.28,7.554884935,3,19197.9,120.4041754,0.29,3.464287322,51528.7
2016Q4,118198.9906,126.83,245.86,7.502345584,3,19304.4,121.4002471,0.55,3.662465026,54306.3667
2017Q1,119202.6171,128.23,247.66,7.430903637,3,19398.3,122.4571663,0.82,3.931815049,55385.3333
2017Q2,119182.059,130.07,248.83,7.340224104,3,19506.9,122.0792422,1.06,3.815127762,57135.8
2017Q3,120221.1247,130.93,249.91,7.294465946,3,19660.8,122.8927512,1.06,3.697461071,57348.4667
2017Q4,120367.2135,134.03,251.43,7.339027889,2.75,19882.4,124.9857359,1.33,3.769775148,60455.4333
2018Q1,122444.7567,133.54,253.11,7.365331091,2.75,20044.1,126.4731603,1.67,3.978492532,61548.1333
2018Q2,124490.94,135,254.81,7.442724617,2.75,20150.5,127.3569363,1.91,4.142487796,60606.6
2018Q3,124377.655,136.89,256.5,7.546585928,2.75,20276.2,127.6190362,2.18,4.307038578,60887.8
2018Q4,123945.1026,137.13,257.69,7.71832472,2.75,20304.9,126.8772966,2.4,4.42197573,65008.9667
2019Q1,127146.3,139.11,259,7.719152093,2.75,20415.2,125.9339488,2.43,4.358795342,65607.8333
2019Q2,129402.6264,141.48,260.62,7.672309441,2.75,20584.5,126.0155774,2.4,4.542693254,67174.9333
2019Q3,129336.6819,139.36,261.71,7.684220993,2.75,20817.6,125.3708779,1.9,4.686410804,69237.4667
2019Q4,129319.433,141.8,262.98,7.718640416,2.75,20951.1,125.3840626,1.55,4.528130811,73930.1667
2020Q1,128148.6259,141.57,264.29,7.676878213,2.75,20665.6,123.8209081,0.08,4.545260722,74066.9667
2020Q2,118120.5759,144.86,265.49,7.701137699,2,19034.8,118.5311609,0.08,4.393510903,79003.2
2020Q3,127602.4559,146.28,266.94,7.719452089,1.75,20511.8,122.6663987,0.09,5.237099129,83942.4
2020Q4,132108.9834,148.64,268.55,7.790484272,1.75,20724.1,124.6158288,0.09,5.235251061,91381.5667
2021Q1,133997.3133,149.84,271.07,7.751919628,1.75,20990.5,129.1899977,0.07,5.545708389,91531.4667
2021Q2,136168.5954,150.52,272.61,7.723338122,1.75,21309.5,133.9281931,0.08,5.797761608,92647.7667
2021Q3,137863.453,151.65,274.96,7.738445738,1.75,21483.1,137.2982108,0.08,6.070159263,94318.1333
2021Q4,138513.9704,153.2,278.93,7.729419885,1.75,21847.6,141.1640011,0.08,6.242693085,102752.3
2022Q1,140474.0912,156.09,284.83,7.698486605,1.75,21738.9,146.4643269,0.2,6.239829526,102412.733
2022Q2,142223.4286,161.89,292.3,7.689298831,2.25,21708.2,152.5887167,1.21,6.513306422,105753.8
2022Q3,142993.0889,165.35,299.28,7.757065774,3,21851.1,149.3578503,2.56,6.284958885,107414.967
2022Q4,143398.3011,167.35,304.76233,7.849077699,3.75,21990,147.4569209,4.1,6.284979134,114540.567
2023Q1,145960.4921,169.69,309.40573,7.828531732,4.5,22112.3,144.3092853,4.65,6.391909943,115622.1
2023Q2,147720.8815,169.87,312.62363,7.815631993,5,22225.4,142.0011499,5.08,6.486869949,119321.433
2023Q3,148223.079,173.1,316.84644,7.859000939,5,22491.6,143.0638395,5.12,6.504810105,119767.633
