"Variables ->","OBS_L_GDP","OBS_L_S","OBS_L_CPI","OBS_RS","OBS_L_CPIXFE","OBS_L_CPI_RW","OBS_RS_RW","OBS_L_GDP_RW_GAP","OBS_L_GDP_RW","OBS_REM_GDP","OBS_L_MB"
"Comments ->","Producto Interno Bruto real de Guatemala","Tipo de Cambio Nominal","Indice de Precios al Consumidor","Tasa de interes de PolÃ­tica Monetaria","Indice de InflaciÃ³n Subyacente","","Tasa de Fondos Federales","Producto Interno Bruto de EEUU","Producto Interno Bruto de EEUU","","Base Monetaria"
"Class[Size] ->","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]"
"2001Q1",1.11571159e+03,2.04122033e+02,3.42180295e+02,5.40000000e+00,4.63681322e+02,4.59532660e+02,5.29000000e+00,1.05144262e+00,9.55980780e+02,NaN,9.37469312e+02
"2001Q2",1.11050941e+03,2.05412373e+02,3.43640460e+02,4.98000000e+00,4.65270995e+02,4.58878955e+02,3.95000000e+00,9.67740871e-01,9.56603341e+02,NaN,9.38306884e+02
"2001Q3",1.11021623e+03,2.07317193e+02,3.46068253e+02,4.63000000e+00,4.67865798e+02,4.57710070e+02,2.75000000e+00,-1.40622929e-01,9.56201897e+02,NaN,9.40251875e+02
"2001Q4",1.11719312e+03,2.07442900e+02,3.48090219e+02,4.52000000e+00,4.70139922e+02,4.54408032e+02,1.52000000e+00,-5.75063336e-01,9.56476296e+02,NaN,9.47244383e+02
"2002Q1",1.11865760e+03,2.06812778e+02,3.50914704e+02,5.25000000e+00,4.73830377e+02,4.55245746e+02,1.74000000e+00,-4.54115058e-01,9.57309177e+02,5.28262000e+00,9.52205484e+02
"2002Q2",1.11547666e+03,2.06686276e+02,3.52385563e+02,4.39000000e+00,4.75213983e+02,4.56187879e+02,1.73000000e+00,-5.59118095e-01,9.57920014e+02,6.80431000e+00,9.51436739e+02
"2002Q3",1.11606138e+03,2.05155634e+02,3.52929445e+02,4.45000000e+00,4.76388290e+02,4.57380923e+02,1.85000000e+00,-8.73709687e-01,9.58325701e+02,8.34552000e+00,9.50326866e+02
"2002Q4",1.12018260e+03,2.03470565e+02,3.54224487e+02,2.22000000e+00,4.77632985e+02,4.57114773e+02,1.16000000e+00,-1.47508017e+00,9.58449230e+02,8.26074000e+00,9.61396379e+02
"2003Q1",1.12311101e+03,2.06812778e+02,3.56529330e+02,1.41000000e+00,4.80057273e+02,4.59870443e+02,1.38000000e+00,-1.67897485e+00,9.58974490e+02,7.84877000e+00,9.60740138e+02
"2003Q2",1.11780414e+03,2.06939121e+02,3.57495123e+02,1.10000000e+00,4.81391781e+02,4.58077073e+02,1.45000000e+00,-1.52937553e+00,9.59856213e+02,9.51912000e+00,9.63502406e+02
"2003Q3",1.11828994e+03,2.07693841e+02,3.58451650e+02,1.45000000e+00,4.82378405e+02,4.58199408e+02,1.17000000e+00,-6.12612041e-01,9.61505733e+02,9.67602000e+00,9.62498984e+02
"2003Q4",1.12148118e+03,2.08318453e+02,3.59914428e+02,1.83000000e+00,4.83423076e+02,4.59381557e+02,9.40000000e-01,-1.88673343e-01,9.62659770e+02,9.62267000e+00,9.69712942e+02
"2004Q1",1.12474966e+03,2.09186406e+02,3.62888207e+02,1.86000000e+00,4.85942590e+02,4.61850557e+02,1.05000000e+00,-3.47385884e-01,9.63224822e+02,9.81902000e+00,9.69733221e+02
"2004Q2",1.12051563e+03,2.07191328e+02,3.64638705e+02,2.26000000e+00,4.87367311e+02,4.62870476e+02,1.38000000e+00,-2.89059414e-01,9.63996787e+02,1.04848200e+01,9.69851130e+02
"2004Q3",1.12118258e+03,2.06686276e+02,3.66190669e+02,2.08000000e+00,4.88870650e+02,4.64421656e+02,1.94000000e+00,-4.44391885e-02,9.64940910e+02,1.02265400e+01,9.70575587e+02
"2004Q4",1.12593253e+03,2.05155634e+02,3.68739886e+02,2.68000000e+00,4.90657704e+02,4.64736954e+02,1.97000000e+00,2.89423319e-01,9.65955949e+02,1.02058000e+01,9.77404683e+02
"2005Q1",1.12805393e+03,2.03077637e+02,3.71291283e+02,2.75000000e+00,4.93453803e+02,4.67524498e+02,2.96000000e+00,7.34046041e-01,9.67059204e+02,9.18473000e+00,9.79146974e+02
"2005Q2",1.12535004e+03,2.02946317e+02,3.73073611e+02,3.00000000e+00,4.94894689e+02,4.68419650e+02,3.35000000e+00,5.93410297e-01,9.67550619e+02,1.13963000e+01,9.81872818e+02
"2005Q3",1.12354617e+03,2.03077637e+02,3.75217533e+02,3.61364000e+00,4.96181760e+02,4.71598321e+02,3.93000000e+00,7.72277734e-01,9.68331377e+02,1.05643000e+01,9.82937984e+02
"2005Q4",1.12754751e+03,2.02946317e+02,3.76959363e+02,4.11364000e+00,4.98033875e+02,4.70551929e+02,4.09000000e+00,7.57733884e-01,9.68885357e+02,1.12440400e+01,9.89840801e+02
"2006Q1",1.13285217e+03,2.03077637e+02,3.78319095e+02,4.25000000e+00,5.00296045e+02,4.71196390e+02,5.00000000e+00,1.56171722e+00,9.70221771e+02,1.00502200e+01,9.95527481e+02
"2006Q2",1.12822461e+03,2.02946317e+02,3.80354564e+02,4.57955000e+00,5.01547072e+02,4.74614531e+02,5.05000000e+00,1.32604921e+00,9.70480189e+02,1.28047200e+01,9.99072661e+02
"2006Q3",1.12995008e+03,2.02946317e+02,3.80759383e+02,5.00000000e+00,5.02519131e+02,4.74185147e+02,5.34000000e+00,1.02142542e+00,9.70630033e+02,1.19928900e+01,1.00047269e+03
"2006Q4",1.13509617e+03,2.02814825e+02,3.82590330e+02,5.00000000e+00,5.03697332e+02,4.73797039e+02,5.17000000e+00,1.46280128e+00,9.71485810e+02,1.13973800e+01,1.01007005e+03
"2007Q1",1.13889687e+03,2.03992078e+02,3.85107483e+02,5.02273000e+00,5.06095445e+02,4.74916403e+02,5.30000000e+00,1.38865743e+00,9.71786194e+02,1.00869700e+01,1.01389588e+03
"2007Q2",1.13530677e+03,2.03861955e+02,3.85531444e+02,5.50000000e+00,5.07253321e+02,4.77598159e+02,5.31000000e+00,1.66279545e+00,9.72396093e+02,1.29808900e+01,1.01446622e+03
"2007Q3",1.13561336e+03,2.04122033e+02,3.87834688e+02,5.52500000e+00,5.08901348e+02,4.78798420e+02,4.58000000e+00,1.93820188e+00,9.72970466e+02,1.25759600e+01,1.01792337e+03
"2007Q4",1.13985803e+03,2.03208785e+02,3.90975043e+02,6.28571000e+00,5.10896854e+02,4.82481274e+02,3.06000000e+00,2.29928702e+00,9.73596737e+02,1.15810300e+01,1.02022826e+03
"2008Q1",1.14178409e+03,2.03339760e+02,3.93816549e+02,6.53571000e+00,5.14065650e+02,4.86829770e+02,2.51000000e+00,1.63597864e+00,9.73169060e+02,9.88594000e+00,1.02049480e+03
"2008Q2",1.14091759e+03,2.01356880e+02,3.98244792e+02,6.75000000e+00,5.16611937e+02,4.93195667e+02,2.47000000e+00,2.01790427e+00,9.73762722e+02,1.17284400e+01,1.01785643e+03
"2008Q3",1.13872749e+03,2.00955541e+02,3.99833519e+02,7.25000000e+00,5.18638793e+02,4.89164528e+02,2.03000000e+00,1.29673456e+00,9.73236080e+02,1.13863000e+01,1.01992345e+03
"2008Q4",1.14267018e+03,2.04251819e+02,3.99959313e+02,7.25000000e+00,5.20002261e+02,4.74465487e+02,1.40000000e-01,-1.10186983e+00,9.71022739e+02,9.95890000e+00,1.02261144e+03
"2009Q1",1.14166326e+03,2.08939187e+02,3.98694178e+02,6.45455000e+00,5.20958396e+02,4.73872858e+02,1.60000000e-01,-2.42798774e+00,9.69881376e+02,9.46120000e+00,1.02067526e+03
"2009Q2",1.13995989e+03,2.09556092e+02,3.98860101e+02,5.54545000e+00,5.21588987e+02,4.78085200e+02,2.20000000e-01,-2.79911210e+00,9.69702565e+02,1.10668800e+01,1.02548812e+03
"2009Q3",1.14010337e+03,2.11866225e+02,3.99866353e+02,4.63636000e+00,5.22376654e+02,4.78815261e+02,7.00000000e-02,-2.65495716e+00,9.70053142e+02,1.12329500e+01,1.02718990e+03
"2009Q4",1.14485779e+03,2.11986346e+02,3.99680174e+02,4.50000000e+00,5.22948302e+02,4.80961577e+02,5.00000000e-02,-1.80517468e+00,9.71128256e+02,9.77853000e+00,1.03148464e+03
"2010Q1",1.14463700e+03,2.08193842e+02,4.02549168e+02,4.50000000e+00,5.24561745e+02,4.82359108e+02,9.00000000e-02,-1.56922447e+00,9.71611587e+02,8.52706000e+00,1.03340875e+03
"2010Q2",1.14304185e+03,2.08069076e+02,4.02846986e+02,4.50000000e+00,5.25438983e+02,4.82086502e+02,9.00000000e-02,-8.77732750e-01,9.72574522e+02,1.08424400e+01,1.03246040e+03
"2010Q3",1.14189136e+03,2.08939187e+02,4.03556065e+02,4.50000000e+00,5.26323082e+02,4.82797168e+02,1.50000000e-01,-4.06143109e-01,9.73342649e+02,1.10263000e+01,1.03412165e+03
"2010Q4",1.14805262e+03,2.07693841e+02,4.04933290e+02,4.50000000e+00,5.27265011e+02,4.86523851e+02,1.30000000e-01,-2.04522078e-01,9.73866385e+02,9.28919000e+00,1.03877525e+03
"2011Q1",1.14854381e+03,2.04251819e+02,4.07314714e+02,4.50000000e+00,5.28921648e+02,4.91870749e+02,1.00000000e-01,-7.89931286e-01,9.73628898e+02,8.19381000e+00,1.04363183e+03
"2011Q2",1.14744653e+03,2.05284086e+02,4.09076282e+02,4.75000000e+00,5.30308001e+02,4.93656103e+02,7.00000000e-02,-4.89458944e-01,9.74303202e+02,1.04564200e+01,1.04388272e+03
"2011Q3",1.14746804e+03,2.06051353e+02,4.10552417e+02,5.00000000e+00,5.31602393e+02,4.93600499e+02,6.00000000e-02,-9.11122411e-01,9.74280887e+02,9.58608000e+00,1.04246555e+03
"2011Q4",1.15161094e+03,2.05412373e+02,4.10948684e+02,5.50000000e+00,5.32643236e+02,4.92901344e+02,4.00000000e-02,-2.18499860e-01,9.75397677e+02,8.74648000e+00,1.04672964e+03
"2012Q1",1.15228897e+03,2.04510886e+02,4.11867239e+02,5.50000000e+00,5.33921120e+02,4.94350640e+02,9.00000000e-02,1.68875704e-01,9.76232771e+02,8.32961000e+00,1.04920998e+03
"2012Q2",1.15009177e+03,2.06051353e+02,4.12490416e+02,5.50000000e+00,5.35048667e+02,4.91248686e+02,9.00000000e-02,1.44351186e-01,9.76678112e+02,1.07692400e+01,1.04777902e+03
"2012Q3",1.14994572e+03,2.07693841e+02,4.13780164e+02,5.00000000e+00,5.36313685e+02,4.92971659e+02,9.00000000e-02,-2.02439695e-01,9.76822037e+02,1.02247100e+01,1.04808965e+03
"2012Q4",1.15510812e+03,2.06559613e+02,4.14336962e+02,5.00000000e+00,5.37422790e+02,4.92138636e+02,9.00000000e-02,-5.97222128e-01,9.76937611e+02,9.23999000e+00,1.05638696e+03
"2013Q1",1.15517580e+03,2.05540496e+02,4.16114256e+02,5.00000000e+00,5.38746533e+02,4.93186067e+02,9.00000000e-02,-1.44158575e-01,9.77919337e+02,8.52350000e+00,1.05749590e+03
"2013Q2",1.15444398e+03,2.05668455e+02,4.17172758e+02,5.25000000e+00,5.39724726e+02,4.91710614e+02,7.00000000e-02,-4.22140335e-01,9.78186615e+02,1.02968700e+01,1.05855940e+03
"2013Q3",1.15363686e+03,2.07191328e+02,4.17904456e+02,5.25000000e+00,5.40341630e+02,4.92086017e+02,6.00000000e-02,-1.34411398e-01,9.79034405e+02,1.02752500e+01,1.05802258e+03
"2013Q4",1.15791808e+03,2.06178661e+02,4.18630839e+02,5.00000000e+00,5.41112051e+02,4.91086859e+02,7.00000000e-02,1.60753696e-01,9.79902369e+02,9.47586000e+00,1.06217321e+03
"2014Q1",1.15925706e+03,2.04510886e+02,4.19308688e+02,5.00000000e+00,5.41970080e+02,4.93003496e+02,6.00000000e-02,-7.68330332e-01,9.79556676e+02,8.73257000e+00,1.05761174e+03
"2014Q2",1.15866413e+03,2.05412373e+02,4.20256887e+02,4.75000000e+00,5.42707599e+02,4.92409886e+02,9.00000000e-02,-7.66993490e-02,9.80840245e+02,1.04568800e+01,1.06147259e+03
"2014Q3",1.15785492e+03,2.04381436e+02,4.21298131e+02,4.50000000e+00,5.43346376e+02,4.90893356e+02,7.00000000e-02,5.33406279e-01,9.82048310e+02,1.00218400e+01,1.06315642e+03
"2014Q4",1.16277205e+03,2.03077637e+02,4.21535572e+02,4.00000000e+00,5.43956777e+02,4.86272336e+02,6.00000000e-02,4.36458112e-01,9.82552769e+02,9.07917000e+00,1.06721147e+03
"2015Q1",1.16382077e+03,2.03208785e+02,4.21704836e+02,3.50000000e+00,5.44680224e+02,4.83259854e+02,6.00000000e-02,7.30298788e-01,9.83449223e+02,9.03372000e+00,1.07115581e+03
"2015Q2",1.16174423e+03,2.03470565e+02,4.22613934e+02,3.50000000e+00,5.45453055e+02,4.83701235e+02,8.00000000e-02,7.45939427e-01,9.84066718e+02,1.02656200e+01,1.07563314e+03
"2015Q3",1.16265631e+03,2.04038362e+02,4.23157112e+02,3.25000000e+00,5.46110593e+02,4.80443530e+02,7.00000000e-02,5.45802708e-01,9.84466164e+02,1.06243700e+01,1.07588556e+03
"2015Q4",1.16637966e+03,2.02992036e+02,4.24555736e+02,3.00000000e+00,5.46768995e+02,4.78318816e+02,2.00000000e-01,1.33844826e-01,9.84650474e+02,1.04456500e+01,1.08029983e+03
"2016Q1",1.16548317e+03,2.04344642e+02,4.25878314e+02,3.00000000e+00,5.47438210e+02,4.76939464e+02,2.50000000e-01,1.19443959e-01,9.85228320e+02,1.03628900e+01,1.08045949e+03
"2016Q2",1.16537913e+03,2.03377450e+02,4.26951212e+02,3.00000000e+00,5.48075446e+02,4.79392749e+02,3.00000000e-01,-1.47554454e-01,9.85548930e+02,1.15097600e+01,1.08397201e+03
"2016Q3",1.16470482e+03,2.01835705e+02,4.27614974e+02,3.00000000e+00,5.48628446e+02,4.79216555e+02,2.90000000e-01,-2.30916189e-02,9.86255816e+02,1.06557600e+01,1.08498942e+03
"2016Q4",1.16958993e+03,2.01548152e+02,4.28701035e+02,3.00000000e+00,5.49341805e+02,4.79979878e+02,5.50000000e-01,-4.69237044e-02,9.86808584e+02,1.08089400e+01,1.09023967e+03
"2017Q1",1.17009038e+03,1.99599200e+02,4.29798829e+02,3.00000000e+00,5.50074228e+02,4.80684729e+02,8.20000000e-01,-1.31341108e-01,9.87294293e+02,1.08496700e+01,1.09220701e+03
"2017Q2",1.16783577e+03,1.99385914e+02,4.31223554e+02,3.00000000e+00,5.50542421e+02,4.80476134e+02,1.06000000e+00,-1.36000331e-01,9.87852604e+02,1.21448700e+01,1.09531862e+03
"2017Q3",1.16776435e+03,1.98813185e+02,4.31882562e+02,3.00000000e+00,5.50986260e+02,4.81947479e+02,1.06000000e+00,9.43801052e-02,9.88638036e+02,1.14601000e+01,1.09569014e+03
"2017Q4",1.17162232e+03,1.99344647e+02,4.34222638e+02,2.75000000e+00,5.51649320e+02,4.82976596e+02,1.33000000e+00,6.68839451e-01,9.89758778e+02,1.12344200e+01,1.10096617e+03
"2018Q1",1.17272995e+03,2.00052143e+02,4.33856379e+02,2.75000000e+00,5.52296271e+02,4.83961879e+02,1.67000000e+00,9.42232570e-01,9.90568898e+02,1.08957100e+01,1.10275748e+03
"2018Q2",1.17201488e+03,2.01293709e+02,4.34943758e+02,2.75000000e+00,5.52973218e+02,4.85298317e+02,1.91000000e+00,9.44855968e-01,9.91098319e+02,1.32268700e+01,1.10121591e+03
"2018Q3",1.17120437e+03,2.03527411e+02,4.36334051e+02,2.75000000e+00,5.53629451e+02,4.84847599e+02,2.18000000e+00,1.04952964e+00,9.91720079e+02,1.36019000e+01,1.10167881e+03
"2018Q4",1.17478149e+03,2.04510886e+02,4.36509218e+02,2.75000000e+00,5.54144592e+02,4.82866584e+02,2.40000000e+00,6.82889829e-01,9.91861623e+02,1.32967100e+01,1.10822805e+03
"2019Q1",1.17640784e+03,2.03998320e+02,4.37942776e+02,2.75000000e+00,5.54721482e+02,4.84221215e+02,2.43000000e+00,7.23776699e-01,9.92403255e+02,1.16962500e+01,1.10914504e+03
"2019Q2",1.17572703e+03,2.04186817e+02,4.39632111e+02,2.75000000e+00,5.55339538e+02,4.83429660e+02,2.40000000e+00,1.05482550e+00,9.93229500e+02,1.44612900e+01,1.11150554e+03
"2019Q3",1.17516869e+03,2.04199016e+02,4.38122331e+02,2.75000000e+00,5.55778544e+02,4.82861145e+02,1.90000000e+00,1.68864850e+00,9.94355315e+02,1.47169100e+01,1.11452974e+03
"2019Q4",1.17917202e+03,2.03974001e+02,4.39858036e+02,2.75000000e+00,5.56330258e+02,4.82831374e+02,1.55000000e+00,1.83613057e+00,9.94994586e+02,1.35835200e+01,1.12108762e+03
"2020Q1",1.17716475e+03,2.03945904e+02,4.39695712e+02,2.75000000e+00,5.56816533e+02,4.80191563e+02,8.00000000e-02,-3.17503246e-02,9.93622349e+02,1.21099500e+01,1.12127249e+03
"2020Q2",1.16627934e+03,2.04088651e+02,4.41993050e+02,2.00000000e+00,5.57273219e+02,4.79160602e+02,8.00000000e-02,-8.75622959e+00,9.85402574e+02,1.40314800e+01,1.12772436e+03
"2020Q3",1.17376955e+03,2.04862144e+02,4.42968533e+02,1.75000000e+00,5.57857293e+02,4.81374566e+02,9.00000000e-02,-1.80226602e+00,9.92875488e+02,1.64381700e+01,1.13378861e+03
"2020Q4",1.18146362e+03,2.05428013e+02,4.44569005e+02,1.75000000e+00,5.58513894e+02,4.82758307e+02,9.00000000e-02,-1.30527279e+00,9.93905390e+02,1.58235500e+01,1.14227991e+03
"2021Q1",1.18154374e+03,2.04385711e+02,4.45373083e+02,1.75000000e+00,5.59386991e+02,4.87824337e+02,6.00000000e-02,-5.73399433e-01,9.95182719e+02,1.49110100e+01,1.14244381e+03
"2021Q2",1.18060084e+03,2.04621045e+02,4.45825871e+02,1.75000000e+00,5.59920077e+02,4.91584575e+02,8.00000000e-02,3.79143516e-01,9.96691033e+02,1.83911800e+01,1.14365601e+03
"2021Q3",1.18163203e+03,2.04534945e+02,4.46573799e+02,1.75000000e+00,5.60736533e+02,4.92466083e+02,6.00000000e-02,6.26718080e-01,9.97502107e+02,1.88030000e+01,1.14544287e+03
"2021Q4",1.18621145e+03,2.04451490e+02,4.47590704e+02,1.75000000e+00,5.62141640e+02,4.93956477e+02,7.00000000e-02,1.74037871e+00,9.99184645e+02,1.88377100e+01,1.15400765e+03
"2022Q1",1.18619885e+03,2.04045640e+02,4.49459554e+02,1.75000000e+00,5.64180859e+02,5.01653254e+02,3.30000000e-01,6.69160803e-01,9.98685723e+02,1.69703000e+01,1.15367663e+03
"2022Q2",1.18496101e+03,2.04576453e+02,4.53107984e+02,2.25000000e+00,5.66622307e+02,5.04175165e+02,1.58000000e+00,-4.70548611e-02,9.98544351e+02,2.07224600e+01,1.15688690e+03
"2022Q3",1.18534271e+03,2.05417758e+02,4.55222722e+02,3.00000000e+00,5.68870488e+02,4.99615665e+02,3.08000000e+00,3.24665053e-02,9.99200810e+02,1.95019000e+01,1.15844548e+03
"2022Q4",1.18965420e+03,2.06281788e+02,4.56425017e+02,3.75000000e+00,5.70651128e+02,4.97643170e+02,4.33000000e+00,8.73287422e-02,9.99834222e+02,1.90392400e+01,1.16486843e+03
"2023Q1",1.18997499e+03,2.05476199e+02,4.57813603e+02,4.50000000e+00,5.72069652e+02,4.96882343e+02,4.83000000e+00,6.24676663e-02,1.00038906e+03,1.73564000e+01,1.16580824e+03
"2023Q2",1.18879876e+03,2.05902453e+02,4.57919616e+02,5.00000000e+00,5.73105835e+02,4.95593339e+02,5.08000000e+00,-8.15387255e-03,1.00089888e+03,2.06307700e+01,1.16895763e+03
"2023Q3",NaN,2.06273527e+02,4.59803227e+02,5.00000000e+00,5.74397137e+02,4.97025070e+02,5.33000000e+00,5.97831183e-01,1.00208568e+03,NaN,1.16933088e+03